
C:\Users\rache\Desktop\rushexit\games\a-history-of-birds>python -m cProfile -s tottime a_history_of_birds.py
         5012731 function calls (5007026 primitive calls) in 14.017 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 uniform_buffer_object.py:113(<module>)
        1    0.000    0.000    0.001    0.001 GL_3_2.py:9(<module>)
        1    0.000    0.000    0.000    0.000 latebind.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypesloader.py:5(<module>)
        1    0.000    0.000    0.019    0.019 base64mime.py:25(<module>)
     2348    0.000    0.000    0.000    0.000 {chr}
      154    0.000    0.000    0.000    0.000 sre_parse.py:236(_class_escape)
      170    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 internalformat_query2.py:57(<module>)
        1    0.000    0.000    0.001    0.001 GL_3_1.py:9(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 program_interface_query.py:45(<module>)
        1    0.000    0.000    0.001    0.001 extensions.py:5(<module>)
     1533    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      107    0.000    0.000    0.002    0.000 copy.py:66(copy)
       55    0.000    0.000    0.001    0.000 __init__.py:1025(getLogger)
        1    0.000    0.000    0.001    0.001 imaging.py:1(<module>)
  165/154    0.000    0.000    0.001    0.000 pyparsing.py:112(_ustr)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
        1    0.000    0.000    0.002    0.002 GL_1_2_images.py:9(<module>)
      225    0.000    0.000    0.001    0.000 wrapper.py:351(setReturnValues)
      611    0.000    0.000    0.000    0.000 zipfile.py:377(_decodeFilename)
       55    0.000    0.000    0.000    0.000 threading.py:147(acquire)
        2    0.000    0.000    0.000    0.000 obj_file_loader.py:99(remove_unused_vertices)
       56    0.000    0.000    0.001    0.000 pyparsing.py:1605(__init__)
        1    0.000    0.000    0.001    0.001 shader_image_load_store.py:54(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 get_program_binary.py:32(<module>)
      598    0.000    0.000    0.000    0.000 camera.py:42(get_yaw)
        1    0.000    0.000    0.000    0.000 exceptional.py:1(<module>)
        1    0.000    0.000    0.005    0.005 GL_1_0.py:9(<module>)
       19    0.000    0.000    0.006    0.000 __init__.py:2506(activate)
        9    0.000    0.000    0.003    0.000 loader.py:38(store_data_in_attribute_list)
     1247    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 separate_shader_objects.py:1(<module>)
       64    0.000    0.000    0.001    0.000 ntpath.py:63(join)
        1    0.000    0.000    0.001    0.001 viewport_array.py:35(<module>)
        1    0.000    0.000    0.000    0.000 message.py:92(Message)
      598    0.000    0.000    0.000    0.000 model_texture.py:11(get_shine_damper)
        1    0.000    0.000    0.000    0.000 shader_atomic_counters.py:51(<module>)
       26    0.000    0.000    0.000    0.000 ntpath.py:415(normpath)
        1    0.000    0.000    0.001    0.001 vertex_attrib_64bit.py:52(<module>)
      897    0.000    0.000    0.000    0.000 raw_model.py:5(get_vao_id)
        1    0.000    0.000    0.000    0.000 framebuffer_no_attachments.py:56(<module>)
       48    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
  486/358    0.000    0.000    0.000    0.000 {setattr}
      863    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 stencil_texturing.py:17(<module>)
      598    0.000    0.000    0.000    0.000 model_texture.py:7(get_texture_id)
        1    0.000    0.000    0.000    0.000 texture_storage.py:31(<module>)
      157    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.003    0.003 GL_4_5.py:1(<module>)
      598    0.000    0.000    0.000    0.000 light.py:9(get_color)
        1    0.000    0.000    0.000    0.000 clear_buffer_object.py:24(<module>)
      598    0.000    0.000    0.000    0.000 model_texture.py:9(get_texture_data)
       77    0.000    0.000    0.020    0.000 sre_compile.py:552(_code)
        1    0.000    0.000    0.002    0.002 GL_2_0.py:1(<module>)
      340    0.000    0.000    0.001    0.000 __init__.py:2142(_normalize_cached)
       51    0.000    0.000    0.008    0.000 __init__.py:2501(_get_metadata)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
       40    0.000    0.000    0.000    0.000 __init__.py:738(add)
        1    0.000    0.000    0.000    0.000 texture_query_levels.py:32(<module>)
       94    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 texture_view.py:38(<module>)
        1    0.000    0.000    0.001    0.001 zipfile.py:3(<module>)
        1    0.000    0.000    0.000    0.000 invalidate_subdata.py:54(<module>)
        1    0.000    0.000    0.000    0.000 vertex_attrib_binding.py:47(<module>)
        1    0.000    0.000    0.000    0.000 base_instance.py:29(<module>)
       13    0.000    0.000    0.000    0.000 wrapper.py:404(finaliseCall)
       43    0.000    0.000    0.000    0.000 baseplatform.py:103(errorChecking)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_buffer_range.py:21(<module>)
      306    0.000    0.000    0.005    0.000 GL_1_0.py:12(_f)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 texture_buffer_object.py:41(<module>)
       83    0.000    0.000    0.055    0.001 re.py:192(compile)
        1    0.000    0.000    0.000    0.000 shader_storage_buffer_object.py:48(<module>)
        1    0.000    0.000    0.000    0.000 conservative_depth.py:25(<module>)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.001    0.001 debug.py:1(<module>)
      598    0.000    0.000    0.000    0.000 camera.py:40(get_pitch)
       40    0.000    0.000    0.003    0.000 __init__.py:2344(__init__)
        1    0.000    0.000    0.000    0.000 compute_shader.py:47(<module>)
       65    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       77    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 transform_feedback_instanced.py:22(<module>)
      145    0.000    0.000    0.003    0.000 __init__.py:372(__getattr__)
        1    0.000    0.000    0.009    0.009 __init__.py:18(<module>)
        1    0.000    0.000    0.001    0.001 GL_4_4.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multi_draw_indirect.py:23(<module>)
        1    0.000    0.000    0.000    0.000 explicit_uniform_location.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ES3_compatibility.py:18(<module>)
        9    0.000    0.000    0.003    0.000 pyparsing.py:1727(__init__)
        1    0.000    0.000    0.003    0.003 pointers.py:18(<module>)
        1    0.000    0.000    0.000    0.000 internalformat_query.py:23(<module>)
        1    0.000    0.000    0.000    0.000 shader_precision.py:18(<module>)
        1    0.000    0.000    0.000    0.000 arrays_of_arrays.py:101(<module>)
        1    0.000    0.000    0.000    0.000 shading_language_420pack.py:51(<module>)
        1    0.000    0.000    0.000    0.000 robust_buffer_access_behavior.py:21(<module>)
        1    0.000    0.000    0.000    0.000 copy_image.py:30(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
